Empresas com Registro no SND (*)- Gerado em 20/10/2019 01:42:46

Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
INHA11    	GAFISA S/A	 UNI	 001	Sim	Excluído	BRINHADBS016	CVM/SRE/DEB-2001/021	19/04/2001			15/02/2001	15/02/2004	15/02/2004 - VENCIMENTO	15/02/2004	15/02/2003	23/04/2001	 -	AGE	08/01/2001	   		Escritural	Flutuante	Simples	5000	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000	R$	0	17/02/2004	DI	Integrante de Juros	Padrão - SND	00	DU		100	0	 - 	 -		0	0000	   	 - 	 -	 - 	3,3	252	0012	MES	15/02/2004	Civil	Exponencial	0	000	    	   		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU UNIBANCO S/A	UNIBANCO - UNIAO DE BCOS BRASILEIROS S/A	01545826000107	N	n	
INHA12    	GAFISA S/A	 UNI	 002	Não	Excluído	BRGFSADBS005	CVM/SRE/DEB-2005/021	29/04/2005	CVM/SRE/PRO-2005/008	29/04/2005	01/03/2005	01/03/2009	05/10/2006 - RESGATE TOTAL ANTECIPADO	05/10/2006	01/03/2005	04/05/2005	 -	AGE	01/03/2005	AGE	20/04/2005	Escritural	Quirografária	Simples	6400	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000	R$	0	06/10/2006	DI	Integrante de Juros	Padrão - SND	00	DU		100	0	 - 	 -		4.1666	0001	MES	01/04/2007	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	2,85	252	0006	MES	01/09/2005	Útil	Exponencial	0	000	    	   		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU UNIBANCO S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	01545826000107	N	n	
INHA13    	GAFISA S/A	 UNI	 003	Não	Excluído	BRGFSADBS013	CVM/SRE/DEB-2005/059	26/12/2005	CVM/SRE/PRO-2005/008	29/04/2005	01/12/2005	01/12/2010	06/12/2006 - RESGATE TOTAL ANTECIPADO	06/12/2006	01/12/2005	27/12/2005	 -	AGE	28/11/2005	RCA	16/12/2005	Escritural	Quirografária	Simples	10000	0	1231	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000	R$	0	07/12/2006	DI	Integrante de Juros	Padrão - SND	00	DU		100	0	 - 	 -		3.3333	0001	MES	01/07/2008	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	2	252	0006	MES	01/06/2006	Útil	Exponencial	0	000	    	   		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU UNIBANCO S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	01545826000107	N	n	
INHA14    	GAFISA S/A	 UNI	 004	Não	Excluído	BRGFSADBS021	CVM/SRE/DEB-2006/036	29/09/2006	CVM/SRE/PRO-2006/008	29/09/2006	01/09/2006	01/09/2011	28/09/2010 - RESGATE TOTAL ANTECIPADO	28/09/2010	01/09/2006	02/10/2006	 -	RCA	03/08/2006	RCA	18/09/2006	Escritural	Quirografária	Simples	24000	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000	R$	0	27/09/2010	DI	Integrante de Juros	Padrão - SND	00	DU		100	0	 - 	 -		20	0006	MES	01/09/2009	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	3,25	252	0006	MES	01/03/2007	Útil	Exponencial	0	000	    	   		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	PLANNER TRUSTEE DTVM LTDA.	ITAU UNIBANCO S/A	BRADESCO P/ INC HSBCBM	01545826000107	N	n	
INHA15    	GAFISA S/A	 001	 005	Não	Excluído	BRGFSADBS039	CVM/SRE/DEB-2008/017	24/06/2008	CVM/SRE/PRO-2008/005	24/06/2008	05/05/2008	05/05/2018	22/01/2014 - CANCELAMENTO	05/05/2018	05/05/2012		 -	RCA	16/05/2008	RCA	26/05/2008	Escritural	Quirografária	Simples	12500	0	0	000000000000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	10000	R$	10000	21/01/2014	DI	Integrante de Juros	Padrão - SND		DU		120	0	 - 	 -		 - 	 - 		 - 	 -	 - 			0006	MES	05/05/2012	 - 	Linear	0	000	    	0 0		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU UNIBANCO S/A	BB BCO DE INVESTIMENTO S/A	01545826000107	N	n	S
INHA16    	GAFISA S/A	 001	 006	 -	Excluído	BRGFSADBS054	DISPENSA ICVM 476/09	24/08/2009			01/08/2009	01/08/2011	26/10/2010 - RESGATE TOTAL ANTECIPADO	26/10/2010	11/05/2010	26/08/2009	 -	RCA	12/08/2009	   		Escritural	Quirografária	Simples	15	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000000	R$	0	22/10/2010	DI	Integrante de Juros	Não Padrão - SND	00	DU		100	0	 - 	1.5% a.a 252 dias 		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CORRETORA DE VALORES S/A                     	BCO VOTORANTIM S/A	01545826000107	N	n	
INHA17    	GAFISA S/A	 UNI	 007	 -	Excluído	BRGFSADBS070	SRE/GER-2/1599/2009	08/12/2009			10/12/2009	05/12/2017	06/12/2017 - VENCIMENTO	05/12/2017	10/12/2009		 -	AGE	16/11/2009	RCA	07/12/2009	Escritural	Flutuante	Simples	600			000000000000	000000000000	000000000600	000000000000		000000000000		000000000000	R$	1000000	R$	249999,999998	05/12/2017	TR	Integrante de Juros	Padrão - SND		-		 -	0	 - 	 -		 - 	0006	MES	05/06/2013	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	9,9228	252	0006	MES	05/12/2013	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	SIMPLIFIC PAVARINI DTVM LTDA	ITAU CV S/A	PLANNER CV S/A	01545826000107	N	n	S
INHA25    	GAFISA S/A	 002	 005	Não	Excluído	BRGFSADBS047	CVM/SRE/DEB-2008/018	24/06/2008	CVM/SRE/PRO-2008/005	24/06/2008	05/05/2008	05/05/2018	22/01/2014 - CANCELAMENTO	05/05/2018	05/05/2008		 -	RCA	16/05/2008	RCA	26/05/2008	Escritural	Quirografária	Simples	12500	0	0	000000000000	000000000000	000000000000	000000012500		000000000000		000000000000	R$	10000	R$	10000	21/01/2014	DI	Integrante de Juros	Padrão - SND		DU		120	0	 - 	 -		 - 	 - 		 - 	 -	 - 			0006	MES	05/11/2008	 - 	Linear	0	000	    	0 0		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU UNIBANCO S/A	BB BCO DE INVESTIMENTO S/A	01545826000107	N	n	S
INHA26    	GAFISA S/A	 002	 006	 -	Excluído	BRGFSADBS062	DISPENSA ICVM 476/09	24/08/2009			01/08/2009	01/06/2014	05/06/2014 - CANCELAMENTO	01/06/2014	11/05/2010		 -	RCA	12/08/2009			Escritural	Quirografária	Simples	10			000000000000	000000000000	000000000010	000000000000		000000000000		000000000000	R$	10000000	R$	10000000	30/05/2014	DI	Integrante de Juros	Não Padrão - SND		-		100	0	 - 	1.5% a.a 252 dias 		 - 	 - 		 - 	 -	 - 	0							0							0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BCO VOTORANTIM S/A	01545826000107	N	n	S
INPA11    	INPA - INDUSTRIA DE EMBALAGENS SANTANA S/A	 UNI	 001	 -	Excluído	BRISTNDBS005	DISPENSA ICVM 476/09	29/09/2011			21/09/2011	21/09/2016	22/09/2016 - VENCIMENTO	21/09/2016	21/09/2011		 -	AGE	01/08/2011			Escritural	Real	Simples	75			000000000000	000000000000	000000000075	000000000000		000000000000		000000000000	R$	1000000	R$	20416	21/09/2016	DI	Integrante de Juros	Padrão - SND		-		100	0	 - 	 -		2.0408	0001	MES	21/09/2012	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	4	252	0001	MES	21/10/2011	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	23524952000100	N	n	S
INPA12    	INPA - INDUSTRIA DE EMBALAGENS SANTANA S/A	 UNI	 002	 -	Excluído	BRISTNDBS013	DISPENSA ICVM 476/09	24/09/2013			26/08/2013	26/08/2018	29/02/2016 - RESGATE TOTAL ANTECIPADO	26/08/2018	26/08/2013	25/09/2013	 -	AGE	24/07/2013	RCA	19/07/2013	Escritural	Real	Simples	50			000000000000	000000000000	000000000050			000000000000		000000000000	R$	1000000	R$	632656	26/02/2016	DI		Padrão - SND		-		100	0	 - 	 -		2.0408	0001	MES	26/08/2014	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	4,5	252	0001	MES	26/09/2013	Útil	Exponencial						 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	23524952000100	N	n	S
INPD11    	INPAR INVESTIMENTOS II S/A	 UNI	 001	 -	Excluído	BRINPDDBS005	DISPENSA ICVM 476/09	28/12/2009			23/12/2009	01/01/2017	30/09/2011 - RESGATE TOTAL ANTECIPADO	30/09/2011	29/12/2009	29/12/2009	 -	AGE	02/12/2009	AGE	23/12/2009	Escritural	Real	Simples	200			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	0	28/09/2011	IGP-M	Correção Monetária	Não Padrão - SND	00	DU		0	0	 - 	10.5% a.a 252 dias 		0	0012	MES	01/01/2011	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CORRETORA DE VALORES S/A                     	AKRO DTVM S/A	11381193000194	N	n	
INPR11    	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	 001	 001	 -	Excluído	BRINEPDBO010	SEP/GER/DCA - 94/011	27/12/1994			01/12/1994	01/12/1999	30/10/1996 - CONVERSÃO	30/10/1996	01/12/1994		 -	AGE	07/12/1994			Escritural	Flutuante	Conversível	2667			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	3000	R$	0		INPC	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10% a.a 360 dias 		3.333	0000		 - 	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0		 -									HSBC BANK BRASIL S/A - B. M.	OLIVEIRA TRUST DTVM S/A	HSBC CCVM S/A	BANCO FATOR S/A	76627504000106	N	n	
INPR12    	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	 UNI	 002	 -	Excluído	BRINEPDBS011	SEP/GER/DEB - 96/025	14/03/1996			01/02/1996	01/02/2001	08/09/2004 - VENCIMENTO ANTECIPADO		01/02/1996	15/03/1996	 -	AGE	09/02/1996	RCA	13/02/1996	Escritural	Subordinada	Permutável	35000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1000	R$	2132,11979	01/09/2004	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									HSBC BANK BRASIL S/A - B. M.	PENTAGONO S/A DTVM	HSBC CTVM S/A	BANCO BRADESCO S/A	76627504000106	N	n	
INPR13    	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	 001	 003	 -	Registrado	BRINEPDBS029	SEP/GER/DEB - 96/173	20/12/1996			30/11/1996	01/07/2020		01/07/2020	01/04/2010		 -	AGE	29/11/1996			Escritural	Flutuante	Simples	20000			000000000000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	1000	R$	860,994198	18/10/2019	TR	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	0.5% a.a 360 dias 		 - 	0001	MES	01/08/2010	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -										OMAR CAMARGO CCV LTDA	BANCO BRADESCO S/A	BANCO FATOR S/A	76627504000106	N	n	S
INPR14    	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	 001	 004	Não	Excluído	BRINEPDBO028	CVM/SRE/DCA-2001/001	23/04/2001			01/02/2001	02/05/2013	02/05/2013 - VENCIMENTO	02/05/2013	02/05/2012		 -	AGE	12/01/2001	AGE	23/03/2001	Escritural	Subordinada	Conversível	135000			000000000000	000000000000	000000000000	000000119190	000000000000	000000000000	000000000000	000000000000	R$	1000	R$	1000	02/05/2013	INPC	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	8% a.a 360 dias 		 - 	 - 		 - 	 -	 - 	0							0							0	0000	 -									HSBC BANK BRASIL S/A - B. M.	C&D DTVM SA	HSBC CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A	BANCO FATOR S/A	76627504000106	N	n	S
INPR21    	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	 002	 001	 -	Excluído	BRINEPDBP017	SEP/GER/DCA - 94/012	27/12/1994			01/12/1994	01/12/1999	01/12/1999 - VENCIMENTO	01/12/1999	01/12/1997		 -	AGE	07/12/1994			Escritural	Flutuante	Conversível	5334			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	3000	R$	0		INPC	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10% a.a 360 dias 		3.333	0000		 - 	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0		 -									HSBC BANK BRASIL S/A - B. M.	OLIVEIRA TRUST DTVM S/A	HSBC CCVM S/A	BANCO FATOR S/A	76627504000106	N	n	
INPR23    	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	 002	 003	 -	Registrado	BRINEPDBP025	SEP/GER/DCA - 96/020	23/12/1996			30/11/1996	01/07/2020		01/07/2020	01/04/2010		 -	AGE	29/11/1996			Escritural	Flutuante	-	5000			000000000000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	1000	R$	4305,027354	18/10/2019	TR	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	0.5% a.a 360 dias 		 - 	0001	MES	01/08/2010	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -										OMAR CAMARGO CCV LTDA	BANCO BRADESCO S/A	BANCO FATOR S/A	76627504000106	N	n	S
INPR24    	INEPAR S/A - INDUSTRIA E CONSTRUCOES – EM RECUPERACAO JUDICIAL	 002	 004	Não	Excluído	BRINEPDBP033	CVM/SRE/DCA-2001/002	23/04/2001			01/02/2001	01/02/2006	01/08/2003 - CANCELAMENTO	01/08/2003	02/05/2003	10/09/2001	 -	AGE	12/01/2001		23/03/2001	Escritural	Subordinada	Conversível	135000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1000	R$	0	02/07/2003	INPC	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	8% a.a 360 dias 		0	0012	MES	02/05/2007	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									HSBC BANK BRASIL S/A - B. M.	C&D DTVM SA	HSBC CCVM S/A	BANCO FATOR S/A	76627504000106	N	n	
INPS11    	VIVER INCORPORADORA E CONSTRUTORA S/A	 UNI	 001	 -	Excluído	BRVIVRDBS006	DISPENSA ICVM 476/09	09/02/2011			10/02/2011	01/10/2016	04/10/2016 - VENCIMENTO	01/10/2016	10/02/2011		 -	AGE	03/12/2010			Escritural	Real	Simples	300			000000000000	000000000000	000000000300	000000000000		000000000000		000000000000	R$	1000000	R$	699028,970777	30/09/2016	TR	Integrante de Juros	Não Padrão - SND		-		 -	0	 - 	8.75% a.a 252 dias 		 - 	 - 		 - 	 -	Percentual variável sobre o valor nominal de emissão em períodos não uniformes	0							0							0	0000	 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM SA	ITAU CV S/A	BRADESCO P/ INC HSBCBM	67571414000141	N	n	S
INPS12    	VIVER INCORPORADORA E CONSTRUTORA S/A	 UNI	 002	 -	Excluído	BRVIVRDBS014	DISPENSA ICVM 476/09	28/06/2011			24/06/2011	24/09/2017	22/09/2016 - RESGATE TOTAL ANTECIPADO	24/09/2017	24/06/2011		 -	RCA	19/05/2011			Escritural	Quirografária	Simples	10000	0	0	000000000000	000000000000	000000010000	000000000000		000000000000		000000000000	R$	10000	R$	5450	21/09/2016	DI	Integrante de Juros	Não Padrão - SND		DU		100	0	 - 	5.75  UTI		 - 	 - 		 - 	 -	Percentual variável sobre o valor nominal atualizado em períodos não uniformes	0							0							0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BCO BTG PACTUAL S/A	67571414000141	N	n	S
INPT11    	INFRA 6 PARTICIPACOES S/A	 UNI	 001	 -	Registrado	BRINPTDBS001	DISPENSA ICVM 476/09	22/07/2019			25/06/2019	25/06/2023		25/06/2023	24/07/2019	23/07/2019	 -	AGE	31/05/2019			Escritural	Quirografária	Simples	70000			000000070000	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	957,972706	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		 - 	0001	MES	25/07/2019	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	6	252	0001	MES	25/07/2019	Útil	Exponencial		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	SIMPLIFIC PAVARINI DTVM LTDA	ITAU CV S/A	BANCO ITAU-BBA S/A	33314054000180	N		S
INTB12    	INTELBRAS S/A INDUSTRIA DE TELECOMUNICACAO ELETRONICA BRASILEIRA	 UNI	 002	 -	Excluído	BRINTBDBS001	DISPENSA ICVM 476/09	02/08/2010			30/07/2010	30/07/2014	25/09/2014 - VENCIMENTO	30/07/2014	30/07/2010		 -	AGE	25/06/2010			Escritural	Quirografária	Simples	50			000000000000	000000000000	000000000050	000000000000		000000000000		000000000000	R$	1000000	R$	77002,75	23/09/2014	DI	Integrante de Juros	Padrão - SND		-		100	0	 - 	 -		 - 	0003	MES	30/07/2011	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	2,75	252	0003	MES	30/07/2011	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BCO SANT. (BR) S/A INC B.ABN AMRO REAL	82901000000127	N	n	S
INVP11    	INVESPAR S/A	 001	 001	 -	Excluído	BRINVPDBS015	SEP/GER/DEB - 83/042	08/09/1983			01/03/1983	01/03/1993	22/09/1997 - CANCELAMENTO	22/09/1997	01/03/1993		 -	AGE	15/03/1983	   		Nominativa	Subordinada	Simples	90000	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	329232	R$	0		UFIR	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000		 - 	 -	 - 	0							0							0	0000	 -									BANCO BRASCAN S/A                       	LUIZ OSCAR LOPES		LECCA DTVM S/A	42461046000158	N	n	
INVP12    	INVESPAR S/A	 001	 002	 -	Excluído	BRINVPDBS023	SEP/GER/DEB - 87/002	30/06/1987			01/12/1986	01/12/2006	22/09/1997 - CANCELAMENTO	22/09/1997	01/12/1989		 -	AGE	20/11/1986			Nominativa	Subordinada	Simples	23496			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1064	R$	0		UFIR	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	 -		0	0000		 - 	 -	 - 	0							0							0		 -									BANCO BRASCAN S/A                       	EDUARDO ANTONIO MOTTA MAY		LECCA DTVM S/A	42461046000158	N	n	
INVT11    	INVESTCO S/A	 UNI	 001	Sim	Excluído	BRINVTDBS017	CVM/SRE/DEB-2002/005	21/02/2002			01/11/2001	01/11/2011	04/11/2011 - VENCIMENTO	04/11/2011	01/11/2006	01/03/2002	 -	AGE	30/10/2001	RCA	04/02/2002	Escritural	Quirografária	Simples	25000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000	R$	0	01/11/2011	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10.5% a.a 360 dias 		11.11	0012	MES	01/11/2006	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									ITAU UNIBANCO S.A.	PLANNER CV S/A	ITAU UNIBANCO S/A                                 	UNIBANCO - UNIAO DE BCOS BRASILEIROS S/A	00644907000193	N	n	
IOCH10    	IOCHPE-MAXION S/A	 UNI	 010	 -	Registrado	BRMYPKDBS082	DISPENSA ICVM 476/09	24/09/2019			16/09/2019	16/09/2024		16/09/2024	27/09/2019	27/09/2019	 -	RCA	30/08/2019			Escritural	Quirografária	Simples	350000			000000350000	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		50	0012	MES	16/09/2023	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	0,75	252	0006	MES	16/03/2020	Útil	Exponencial		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ITAU-BBA S/A	61156113000175	N		S
IOCH12    	IOCHPE-MAXION S/A	 001	 002	 -	Excluído		SEP/GER/DCA - 92/011	30/12/1992			01/09/1992	01/09/1997	01/09/1997 - VENCIMENTO	01/09/1997	01/09/1992		 -	AGE	30/10/1992			Escritural	Flutuante	Conversível	20000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	5200000	R$	0		IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	 -		0	0000		 - 	 -	 - 	0							0							0		 -									BANCO BRADESCO S/A	OLIVEIRA TRUST DTVM S/A		FATOR S/A CVC	61156113000175	N	n	
IOCH13    	IOCHPE-MAXION S/A	 001	 003	 -	Excluído	BRMYPKDBO016	SEP/GER/DCA - 95/029	14/12/1995			01/12/1995	01/12/2000	07/12/1998 - CONVERSÃO	07/12/1998	01/12/1995		 -	AGE	28/11/1995			Escritural	Flutuante	Conversível	4800			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000	R$	0		INPC	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10% a.a 360 dias 		3	0000		 - 	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0		 -									BANCO BRADESCO S/A	PLANNER-SANVEST TRUSTEE DTVM LTDA.		BANCO FATOR S/A	61156113000175	N	n	
IOCH13    	IOCHPE-MAXION S/A	 001	 003	 -	Excluído	BRMYPKDBO016	SEP/GER/DCA - 95/029	14/12/1995			01/12/1995	01/12/2000	07/12/1998 - CONVERSÃO	07/12/1998	01/12/1995		 -	AGE	28/11/1995			Escritural	Flutuante	Conversível	4800			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000	R$	0		INPC	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10% a.a 360 dias 		3	0000		 - 	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0		 -									BANCO BRADESCO S/A	PLANNER-SANVEST TRUSTEE DTVM LTDA.		BANCO FATOR S/A	61156113000175	N	n	
IOCH14    	IOCHPE-MAXION S/A	 001	 004	Não	Excluído	BRMYPKDBM010	SEP/GER/DCA - 98/032	16/10/1998			01/05/1998	25/03/1999	09/12/1998 - CONVERSÃO	09/12/1998	01/05/1999		 -	AGE	08/07/1998			Escritural	Flutuante	Conversível	460504			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	180	R$	0		INPC	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10% a.a 360 dias 		3	0000		 - 	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0		 -									BANCO BRADESCO S/A	OLIVEIRA TRUST DTVM S/A	BANCO BRADESCO S/A	BANCO BRADESCO S/A	61156113000175	N	n	
IOCH15    	IOCHPE-MAXION S/A	 UNI	 005	 -	Excluído	BRMYPKDBS025	DISPENSA ICVM 476/09	27/03/2013			15/03/2013	15/03/2022	17/06/2016 - RESGATE TOTAL ANTECIPADO	15/03/2022	28/03/2013	28/03/2013	 -	RCA	07/03/2013	RCA	14/03/2013	Escritural	Real	Simples	124000			000000000000	000000000000	000000124000			000000000000		000000000000	R$	10000	R$	4285,496404	16/06/2016	DI	Integrante de Juros	Padrão - SND		-		100	0	 - 	 -		14.29	0012	MES	15/03/2016	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	3	252	0006	MES	15/09/2013	Útil	Exponencial						 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	61156113000175	N	n	S
